epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1105.99,0.94524,0.70807,1.10176,0.82339,0.81421,0.85276,0.59959,0.98156,0.64208,1.11136,0.000566027,0.000566027,0.000566027
63,1121.99,0.93447,0.69884,1.09753,0.87644,0.80833,0.8888,0.65695,0.87575,0.5504,1.04361,0.00055188,0.00055188,0.00055188
64,1141.45,0.93632,0.68902,1.09764,0.82326,0.82321,0.85195,0.6245,0.92182,0.62692,1.06602,0.000537733,0.000537733,0.000537733
65,1157.01,0.93813,0.7094,1.0991,0.88272,0.78526,0.87493,0.6195,0.9866,0.63805,1.10164,0.000523586,0.000523586,0.000523586
66,1172.72,0.91443,0.67939,1.08546,0.89854,0.80003,0.89735,0.66798,0.84322,0.57358,1.02962,0.000509438,0.000509438,0.000509438
67,1193.39,0.91924,0.68106,1.08191,0.89476,0.81815,0.90163,0.67699,0.84908,0.54761,1.02669,0.000495291,0.000495291,0.000495291
68,1213.34,0.92937,0.67818,1.09009,0.89397,0.81293,0.90543,0.67486,0.87163,0.5366,1.04444,0.000481144,0.000481144,0.000481144
69,1230.1,0.90981,0.68113,1.08502,0.85582,0.78729,0.87465,0.62285,0.95997,0.61688,1.09502,0.000466997,0.000466997,0.000466997
70,1250.03,0.91649,0.66279,1.08062,0.8184,0.82198,0.83882,0.61986,0.92589,0.61317,1.07286,0.00045285,0.00045285,0.00045285
71,1266.87,0.90818,0.66682,1.0846,0.85117,0.80641,0.86118,0.64082,0.89846,0.57711,1.05478,0.000438703,0.000438703,0.000438703
72,1286.91,0.90963,0.66154,1.0801,0.89812,0.82247,0.91015,0.68996,0.8339,0.51129,1.0207,0.000424556,0.000424556,0.000424556
73,1303.3,0.90439,0.66093,1.07662,0.87827,0.80744,0.8948,0.67513,0.82589,0.54735,1.01837,0.000410409,0.000410409,0.000410409
74,1323.47,0.89524,0.65069,1.07148,0.93025,0.80758,0.9153,0.69521,0.80519,0.49068,1.01033,0.000396262,0.000396262,0.000396262
75,1340.35,0.88945,0.6568,1.07175,0.88094,0.8245,0.90944,0.68606,0.83014,0.50882,1.02539,0.000382115,0.000382115,0.000382115
76,1359.53,0.88791,0.64449,1.06723,0.89124,0.8044,0.90819,0.68994,0.7988,0.54283,1.00595,0.000367967,0.000367967,0.000367967
77,1375.18,0.88764,0.64079,1.0696,0.87535,0.82333,0.89812,0.67055,0.87465,0.52712,1.04607,0.00035382,0.00035382,0.00035382
78,1394.39,0.88412,0.6394,1.06647,0.90748,0.82093,0.91149,0.69877,0.79452,0.50003,1.00579,0.000339673,0.000339673,0.000339673
79,1410.16,0.8802,0.63565,1.06473,0.89464,0.8285,0.91032,0.69478,0.79364,0.49448,1.00558,0.000325526,0.000325526,0.000325526
80,1430.72,0.87899,0.63043,1.0592,0.92795,0.81458,0.92418,0.71759,0.76274,0.47226,0.98973,0.000311379,0.000311379,0.000311379
81,1447.48,0.8743,0.6232,1.06011,0.8838,0.81724,0.90184,0.68025,0.83382,0.50503,1.02306,0.000297232,0.000297232,0.000297232
82,1467.6,0.87274,0.62681,1.06397,0.91695,0.83474,0.92805,0.71673,0.76718,0.4597,0.99046,0.000283085,0.000283085,0.000283085
83,1483.59,0.85982,0.61867,1.0534,0.90635,0.82869,0.92079,0.71531,0.77106,0.46111,0.9924,0.000268938,0.000268938,0.000268938
84,1502.82,0.8579,0.61111,1.05627,0.92557,0.82208,0.92645,0.72104,0.75329,0.46322,0.98621,0.000254791,0.000254791,0.000254791
85,1519.2,0.85324,0.6042,1.05007,0.8663,0.83438,0.9026,0.69694,0.80561,0.49363,1.0125,0.000240644,0.000240644,0.000240644
86,1538.31,0.85771,0.61348,1.05415,0.93303,0.82409,0.93275,0.72714,0.75624,0.43948,0.98814,0.000226497,0.000226497,0.000226497
87,1553.98,0.85837,0.60758,1.05447,0.92413,0.82801,0.93074,0.7167,0.75971,0.4459,0.98853,0.000212349,0.000212349,0.000212349
88,1573.92,0.84518,0.60067,1.04181,0.90891,0.83035,0.92526,0.72616,0.74356,0.4398,0.98061,0.000198202,0.000198202,0.000198202
89,1590.24,0.84476,0.59425,1.04668,0.89688,0.84369,0.92676,0.73001,0.73635,0.43794,0.97606,0.000184055,0.000184055,0.000184055
90,1609.73,0.8467,0.59265,1.04538,0.91148,0.84567,0.92708,0.72967,0.7336,0.43516,0.97651,0.000169908,0.000169908,0.000169908
91,1628.53,0.84517,0.59183,1.05009,0.89677,0.85228,0.92703,0.72517,0.74016,0.44922,0.97955,0.000155761,0.000155761,0.000155761
92,1648.3,0.79959,0.53079,1.028,0.92213,0.85137,0.93928,0.7381,0.72847,0.42537,0.97456,0.000141614,0.000141614,0.000141614
93,1664.05,0.79259,0.5219,1.02169,0.91592,0.85398,0.94086,0.74553,0.72426,0.41856,0.97202,0.000127467,0.000127467,0.000127467
94,1683.34,0.79587,0.51706,1.02391,0.93789,0.8448,0.94545,0.75129,0.70393,0.41034,0.96468,0.00011332,0.00011332,0.00011332
95,1698.77,0.79321,0.51627,1.01905,0.91352,0.85316,0.94205,0.75269,0.7046,0.41211,0.96308,9.91726e-05,9.91726e-05,9.91726e-05
96,1718.22,0.78158,0.50371,1.0118,0.93934,0.85218,0.94658,0.75881,0.69122,0.39926,0.95752,8.50255e-05,8.50255e-05,8.50255e-05
97,1733.19,0.77044,0.49903,1.00993,0.93875,0.8503,0.94529,0.756,0.69725,0.39952,0.96182,7.08784e-05,7.08784e-05,7.08784e-05
98,1752.11,0.76253,0.49705,1.00891,0.93162,0.85538,0.94899,0.75834,0.69267,0.39373,0.95913,5.67313e-05,5.67313e-05,5.67313e-05
99,1767.82,0.76448,0.49363,1.01004,0.92484,0.87106,0.9482,0.75798,0.69182,0.39382,0.95887,4.25842e-05,4.25842e-05,4.25842e-05
100,1787.08,0.76265,0.4908,1.00209,0.9278,0.85089,0.94313,0.75052,0.70881,0.40175,0.96587,2.84371e-05,2.84371e-05,2.84371e-05
